-15 	 0.278217 	 -0.0691266 
-14.95 	 0.286557 	 -0.0143497 
-14.9 	 0.28422 	 0.0409631 
-14.85 	 0.271328 	 0.0947558 
-14.8 	 0.248394 	 0.145043 
-14.75 	 0.216297 	 0.189981 
-14.7 	 0.176247 	 0.227935 
-14.65 	 0.12974 	 0.25754 
-14.6 	 0.0784944 	 0.277741 
-14.55 	 0.0243913 	 0.287836 
-14.5 	 -0.0305974 	 0.287492 
-14.45 	 -0.0844815 	 0.276759 
-14.4 	 -0.135324 	 0.256057 
-14.35 	 -0.18131 	 0.226164 
-14.3 	 -0.220813 	 0.188181 
-14.25 	 -0.252445 	 0.14349 
-14.2 	 -0.275111 	 0.093701 
-14.15 	 -0.28804 	 0.0405945 
-14.1 	 -0.29081 	 -0.0139449 
-14.05 	 -0.283359 	 -0.0679954 
-14 	 -0.265983 	 -0.119666 
-13.95 	 -0.239325 	 -0.167161 
-13.9 	 -0.204344 	 -0.208844 
-13.85 	 -0.162282 	 -0.243292 
-13.8 	 -0.114616 	 -0.26934 
-13.75 	 -0.0630061 	 -0.286124 
-13.7 	 -0.00923545 	 -0.2931 
-13.65 	 0.0448518 	 -0.290067 
-13.6 	 0.0974139 	 -0.277163 
-13.55 	 0.146674 	 -0.254861 
-13.5 	 0.190981 	 -0.22395 
-13.45 	 0.228861 	 -0.185501 
-13.4 	 0.259068 	 -0.140832 
-13.35 	 0.280621 	 -0.0914561 
-13.3 	 0.292835 	 -0.0390358 
-13.25 	 0.295339 	 0.01468 
-13.2 	 0.288087 	 0.067912 
-13.15 	 0.271353 	 0.11891 
-13.1 	 0.245723 	 0.166011 
-13.05 	 0.212067 	 0.20769 
-13 	 0.17151 	 0.242613 
-12.95 	 0.125394 	 0.269673 
-12.9 	 0.0752273 	 0.288026 
-12.85 	 0.0226402 	 0.297116 
-12.8 	 -0.0306733 	 0.296686 
-12.75 	 -0.083009 	 0.286788 
-12.7 	 -0.132707 	 0.267772 
-12.65 	 -0.178203 	 0.240277 
-12.6 	 -0.21808 	 0.205202 
-12.55 	 -0.251106 	 0.163679 
-12.5 	 -0.276275 	 0.117033 
-12.45 	 -0.292832 	 0.066739 
-12.4 	 -0.3003 	 0.0143716 
-12.35 	 -0.298482 	 -0.0384412 
-12.3 	 -0.287472 	 -0.0900713 
-12.25 	 -0.267645 	 -0.13894 
-12.2 	 -0.239641 	 -0.183565 
-12.15 	 -0.204346 	 -0.222607 
-12.1 	 -0.162859 	 -0.254905 
-12.05 	 -0.116458 	 -0.279512 
-12 	 -0.0665552 	 -0.29572 
-11.95 	 -0.0146601 	 -0.303079 
-11.9 	 0.037673 	 -0.301406 
-11.85 	 0.0888892 	 -0.290788 
-11.8 	 0.13748 	 -0.271577 
-11.75 	 0.182025 	 -0.244374 
-11.7 	 0.221238 	 -0.210008 
-11.65 	 0.253996 	 -0.169515 
-11.6 	 0.279375 	 -0.124095 
-11.55 	 0.296672 	 -0.075084 
-11.5 	 0.305423 	 -0.0239093 
-11.45 	 0.305415 	 0.0279523 
