I will used the Gaussian wavelet given in the assignment and
10 neurons.
Interpolating function..
Feeding forward..
The fit to the function can be seen in ANN.pdf, while the results
can be seen beneath


Results
x 	 y 	 gaussian
-2.0	-0.01567232281488514	-0.01536813112838232
-1.95959595959596	-0.0201361893681732	-0.02001375687279453
-1.919191919191919	-0.02479910421134447	-0.02477249486774287
-1.878787878787879	-0.02931145878753982	-0.02929555510199049
-1.838383838383838	-0.0332120321692418	-0.03313996392707898
-1.797979797979798	-0.03594051836228956	-0.03577767281993226
-1.757575757575758	-0.0368640921655137	-0.03661495254654355
-1.717171717171717	-0.03531769964365216	-0.03502314965688937
-1.676767676767677	-0.03065606485529921	-0.03038106712273794
-1.636363636363636	-0.02231399648294825	-0.02212817732532668
-1.595959595959596	-0.009870713769633943	-0.009826634971560557
-1.555555555555556	0.006886322178095219	0.006771285534918252
-1.515151515151515	0.0279023108694401	0.02765503331940021
-1.474747474747475	0.05280450143029509	0.05249278479880749
-1.434343434343434	0.08086348359087786	0.0805803519074227
-1.393939393939394	0.1109698824684828	0.110809134917095
-1.353535353535353	0.141630519121957	0.1416600483225938
-1.313131313131313	0.1709888889880214	0.1712294245384116
-1.272727272727273	0.1968753270356658	0.1972912148138898
-1.232323232323232	0.2168918483760633	0.2173973810036839
-1.191919191919192	0.2285348390401538	0.229015308538769
-1.151515151515151	0.2293552812237694	0.2296975583971486
-1.111111111111111	0.2171512233254226	0.2172755822447381
-1.07070707070707	0.1901813984209624	0.1900654828158839
-1.03030303030303	0.1473832554116964	0.1470708827648164
-0.9898989898989898	0.08857433020085072	0.08816584673276716
-0.9494949494949494	0.0146138592611834	0.0142399260974096
-0.9090909090909089	-0.07249753030114243	-0.07271196922521875
-0.8686868686868685	-0.1695982060712391	-0.1695698705562098
-0.8282828282828283	-0.272437474737098	-0.2721502562999188
-0.7878787878787878	-0.3758421379991615	-0.3753543287199115
-0.7474747474747474	-0.4739716825190399	-0.4734019836710695
-0.707070707070707	-0.5606476954555594	-0.5601430679970195
-0.6666666666666665	-0.6297362614572687	-0.6294301196522389
-0.6262626262626261	-0.6755574786947565	-0.6755299991542713
-0.5858585858585856	-0.6932940048671676	-0.6935463433270694
-0.5454545454545454	-0.6793704776906727	-0.6798212384464932
-0.505050505050505	-0.6317772567002051	-0.6322834233117132
-0.4646464646464645	-0.5503146620177348	-0.5507120022731334
-0.4242424242424241	-0.4367373604585775	-0.4368891404202594
-0.3838383838383836	-0.2947826984715674	-0.2946223267241365
-0.3434343434343432	-0.130071867622243	-0.1296260578871682
-0.303030303030303	0.05012071599969514	0.05073648951930618
-0.2626262626262625	0.2372261055628163	0.2378399549813011
-0.2222222222222221	0.4218536486188963	0.4222887661344003
-0.1818181818181817	0.5943524539427597	0.5944824724955684
-0.1414141414141412	0.745424478761167	0.7452152366805359
-0.1010101010101008	0.8667426603207388	0.866266245218287
-0.06060606060606055	0.9515221302519877	0.9509372831321019
-0.02020202020202011	0.9949931727607491	0.9944968573534946
0.02020202020202033	0.9947320896696196	0.9944968573534945
0.060606060606061	0.9508199842775755	0.9509372831321011
0.1010101010101012	0.8658176619008362	0.8662662452182858
0.1414141414141414	0.744564256736128	0.7452152366805351
0.1818181818181821	0.593824384796609	0.5944824724955666
0.2222222222222223	0.4218207450423654	0.4222887661343993
0.262626262626263	0.2376947034510175	0.2378399549812991
0.3030303030303032	0.05093683123056064	0.05073648951930516
0.3434343434343434	-0.1291754850274465	-0.1296260578871692
0.3838383838383841	-0.2941027143086072	-0.2946223267241382
0.4242424242424243	-0.4365051587379133	-0.4368891404202602
0.464646464646465	-0.5506209001079089	-0.5507120022731344
0.5050505050505052	-0.6325403498769568	-0.6322834233117134
0.5454545454545459	-0.6803600686462564	-0.6798212384464936
0.5858585858585861	-0.6942028344816525	-0.6935463433270694
0.6262626262626263	-0.6760991401304877	-0.675529999154271
0.666666666666667	-0.6297374645560033	-0.6294301196522383
0.7070707070707072	-0.5601050340738722	-0.560143067997019
0.7474747474747478	-0.473054215085894	-0.4734019836710684
0.7878787878787881	-0.3748386829986463	-0.3753543287199111
0.8282828282828287	-0.2716655248926545	-0.2721502562999178
0.868686868686869	-0.1693037568493893	-0.1695698705562089
0.9090909090909092	-0.07277781527514854	-0.07271196922521833
0.9494949494949498	0.013840485778858	0.01423992609741031
0.9898989898989901	0.08754255189355394	0.08816584673276745
1.030303030303031	0.1464080360842011	0.1470708827648171
1.070707070707071	0.1895617648225331	0.1900654828158842
1.111111111111111	0.2170805458156445	0.2172755822447381
1.151515151515152	0.229864914051839	0.2296975583971488
1.191919191919192	0.2294867871119971	0.2290153085387689
1.232323232323233	0.2180207953852855	0.2173973810036837
1.272727272727273	0.1978658561430856	0.1972912148138896
1.313131313131314	0.1715643613563221	0.1712294245384113
1.353535353535354	0.1416282146303373	0.1416600483225935
1.393939393939394	0.110382539871371	0.110809134917095
1.434343434343435	0.07983801495985902	0.08058035190742241
1.474747474747475	0.05160086678275826	0.05249278479880737
1.515151515151516	0.02682574699451619	0.0276550333194
1.555555555555556	0.006211753977485746	0.006771285534918168
1.595959595959596	-0.009963150701314658	-0.009826634971560746
1.636363636363637	-0.02177813261301884	-0.02212817732532676
1.676767676767677	-0.02958705706795661	-0.0303810671227379
1.717171717171718	-0.03392927062071596	-0.03502314965688944
1.757575757575758	-0.035443942483844	-0.03661495254654356
1.797979797979798	-0.0347958256243726	-0.03577767281993226
1.838383838383839	-0.032617236605198	-0.03313996392707897
1.878787878787879	-0.02946803453418287	-0.02929555510199049
